kinnex,sample
m84132-combined-demux-from-fastq.8--20.fastq,MCE66.hifi.fastq
m84132-combined-demux-from-fastq.8--21.fastq,MCE67.hifi.fastq
m84132-combined-demux-from-fastq.8--23.fastq,MCE69.hifi.fastq
m84132-combined-demux-from-fastq.8--25.fastq,MCE71.hifi.fastq
m84132-combined-demux-from-fastq.8--27.fastq,MCE73.hifi.fastq
m84132-combined-demux-from-fastq.9--20.fastq,MCE74.hifi.fastq
m84132-combined-demux-from-fastq.9--21.fastq,MCE75.hifi.fastq
m84132-combined-demux-from-fastq.9--22.fastq,MCE76.hifi.fastq
m84132-combined-demux-from-fastq.9--23.fastq,MCE77.hifi.fastq
m84132-combined-demux-from-fastq.9--24.fastq,MCE78.hifi.fastq
m84132-combined-demux-from-fastq.9--25.fastq,MCE79.hifi.fastq
m84132-combined-demux-from-fastq.9--26.fastq,MCE80.hifi.fastq
m84132-combined-demux-from-fastq.9--27.fastq,MCE81.hifi.fastq
m84132-combined-demux-from-fastq.10--20.fastq,MCE82.hifi.fastq
m84132-combined-demux-from-fastq.10--25.fastq,MCE87.hifi.fastq
m84132-combined-demux-from-fastq.10--27.fastq,MCE89.hifi.fastq
m84132-combined-demux-from-fastq.11--20.fastq,MCE90.hifi.fastq
m84132-combined-demux-from-fastq.11--22.fastq,MCE92.hifi.fastq
m84132-combined-demux-from-fastq.11--23.fastq,MCE93.hifi.fastq
m84132-combined-demux-from-fastq.11--25.fastq,MCE95.hifi.fastq
m84132-combined-demux-from-fastq.11--26.fastq,MCE96.hifi.fastq
m84132-combined-demux-from-fastq.11--27.fastq,NC1.hifi.fastq
m84132-combined-demux-from-fastq.0--28.fastq,RW5-2-t60.hifi.fastq
m84132-combined-demux-from-fastq.0--29.fastq,D0-N.hifi.fastq
m84132-combined-demux-from-fastq.0--30.fastq,D0-C.hifi.fastq
m84132-combined-demux-from-fastq.0--31.fastq,M-NB1.hifi.fastq
m84132-combined-demux-from-fastq.0--32.fastq,M-NB2.hifi.fastq
m84132-combined-demux-from-fastq.0--33.fastq,M-NB3.hifi.fastq
m84132-combined-demux-from-fastq.0--34.fastq,M-CB1.hifi.fastq
m84132-combined-demux-from-fastq.0--35.fastq,M-CB2.hifi.fastq
m84132-combined-demux-from-fastq.1--28.fastq,M-CB3.hifi.fastq
